veh_id,episode,episode_step,px,py,sx,sy,ax,ay
LHDV,0,0,85.3345947265625,11.388717651367188,18.967670440673828,0.27465006709098816,-0.4350001811981201,0.09181421250104904
FHDV,0,0,92.3932876586914,4.3960700035095215,19.130212783813477,0.2682320475578308,-0.3809964954853058,0.05988215282559395
BHDV,0,0,70.8306655883789,7.832096576690674,13.943143844604492,-0.27292993664741516,-17.129989624023438,-0.8686625361442566
LHDV,0,1,85.67549896240234,11.393561363220215,18.959564208984375,0.2760539650917053,-0.43843069672584534,0.07593071460723877
FHDV,0,1,92.73700714111328,4.4008941650390625,19.12310791015625,0.26916924118995667,-0.38427162170410156,0.050688713788986206
BHDV,0,1,71.07681274414062,7.82871150970459,13.622468948364258,-0.2908668518066406,-17.34390640258789,-0.9701294898986816
LHDV,0,2,86.02594757080078,11.398571968078613,18.95123291015625,0.27721044421195984,-0.4499002695083618,0.062451280653476715
FHDV,0,2,93.09037780761719,4.405869960784912,19.11580467224121,0.26996442675590515,-0.3943837285041809,0.04294098913669586
BHDV,0,2,71.32394409179688,7.824855804443359,13.292755126953125,-0.31055504083633423,-17.804946899414062,-1.0631861686706543
LHDV,0,3,86.37678527832031,11.40361213684082,18.94289779663086,0.2781088352203369,-0.45395007729530334,0.04892851039767265
FHDV,0,3,93.44416809082031,4.410865306854248,19.108497619628906,0.2706111669540405,-0.397959440946579,0.03522300720214844
BHDV,0,3,71.56537628173828,7.820586204528809,12.962648391723633,-0.33127063512802124,-17.978397369384766,-1.1282204389572144
LHDV,0,4,86.7244873046875,11.40863037109375,18.93464469909668,0.27877774834632874,-0.47274014353752136,0.03831556439399719
FHDV,0,4,93.79483795166016,4.415827751159668,19.101255416870117,0.2711251974105835,-0.41483578085899353,0.029443833976984024
BHDV,0,4,71.79875183105469,7.815923690795898,12.63514518737793,-0.35270294547080994,-18.759490966796875,-1.2276498079299927
LHDV,0,5,87.05496978759766,11.41341781616211,18.926801681518555,0.2792353332042694,-0.45520076155662537,0.026557760313153267
FHDV,0,5,94.12814331054688,4.420553684234619,19.09437370300293,0.2715115249156952,-0.39940768480300903,0.022422054782509804
BHDV,0,5,72.01518249511719,7.811513900756836,12.325549125671387,-0.33567795157432556,-17.96864128112793,0.9881133437156677
LHDV,0,6,87.38097381591797,11.41755485534668,18.918041229248047,0.2194763869047165,-0.5137794017791748,-3.504718065261841
FHDV,0,6,94.45696258544922,4.425222873687744,19.08758544921875,0.2718110680580139,-0.39811471104621887,0.017567481845617294
BHDV,0,6,72.22349548339844,7.807250022888184,12.019169807434082,-0.32210323214530945,-17.968408584594727,0.7961245179176331
LHDV,0,7,87.70337677001953,11.420248985290527,18.904056549072266,0.10459627211093903,-0.7910110354423523,-6.497927665710449
FHDV,0,7,94.78227996826172,4.4298481941223145,19.080873489379883,0.2720392942428589,-0.3796464502811432,0.012909085489809513
BHDV,0,7,72.42446899414062,7.80306339263916,11.715624809265137,-0.31094321608543396,-17.16931915283203,0.6312404274940491
LHDV,0,8,88.03733825683594,11.421151161193848,18.88551902770996,-0.03370409831404686,-1.137641191482544,-8.487445831298828
FHDV,0,8,95.11946868896484,4.434647083282471,19.073917388916016,0.2722160518169403,-0.4268934726715088,0.010847550816833973
BHDV,0,8,72.6273193359375,7.798721790313721,11.400325775146484,-0.3011166751384735,-19.34979248046875,0.6030514240264893
LHDV,0,9,88.34479522705078,11.419967651367188,18.86857032775879,-0.15487438440322876,-1.0131571292877197,-7.2433013916015625
FHDV,0,9,95.43011474609375,4.439070224761963,19.067508697509766,0.27234315872192383,-0.38309791684150696,0.0075981798581779
BHDV,0,9,72.80816650390625,7.794702529907227,11.104476928710938,-0.2929273843765259,-17.685213088989258,0.48953837156295776
LHDV,0,10,88.66022491455078,11.417742729187012,18.851625442504883,-0.26862141489982605,-0.9866246581077576,-6.622979164123535
FHDV,0,10,95.74896240234375,4.44361686706543,19.060935974121094,0.27242156863212585,-0.38270020484924316,0.004565457347780466
BHDV,0,10,72.99024200439453,7.790567398071289,10.81362533569336,-0.285045862197876,-16.93498420715332,0.4589056670665741
LHDV,0,11,88.9837646484375,11.413923263549805,18.83416748046875,-0.38263049721717834,-1.019544243812561,-6.658125400543213
FHDV,0,11,96.07618713378906,4.44828462600708,19.05418586730957,0.2724515497684479,-0.3942059278488159,0.0017508970340713859
BHDV,0,11,73.17193603515625,7.786301612854004,10.506617546081543,-0.27781301736831665,-17.929241180419922,0.42239782214164734
