veh_id,episode,episode_step,px,py,sx,sy,ax,ay,throttle,steer,brake
CAV,0,0,81.8458251953125,7.894919395446777,19.12480926513672,0.28666043281555176,-0.37982943654060364,0.11377310752868652,0,-0.1,0
CAV,0,1,82.1895523071289,7.899394512176514,19.116872787475586,0.2382916957139969,-0.42924943566322327,-2.616053819656372,0,-0.1,0
CAV,0,2,82.54283142089844,7.90248966217041,19.10378646850586,0.1385692059993744,-0.7066771388053894,-5.385135650634766,1,0.0,0
CAV,0,3,82.896484375,7.90510892868042,19.09598731994629,0.1343584507703781,-0.4247601628303528,-0.2293277382850647,0,-0.1,0
CAV,0,4,83.24699401855469,7.907398700714111,19.087862014770508,0.09290728718042374,-0.4654201567173004,-2.3743362426757812,0,-0.1,0
CAV,0,5,83.58006286621094,7.908299446105957,19.075634002685547,0.0015700510703027248,-0.7097013592720032,-5.301120281219482,0,-0.2,0
CAV,0,6,83.90846252441406,7.907299041748047,19.056325912475586,-0.12749801576137543,-1.1323728561401367,-7.569530487060547,0,-0.2,1
CAV,0,7,84.23297882080078,7.903981685638428,19.026321411132812,-0.28631100058555603,-1.697135090827942,-8.982888221740723,0,-0.30000000000000004,1
CAV,0,8,84.56857299804688,7.897637844085693,18.97216796875,-0.47840309143066406,-3.323377847671509,-11.78862476348877,0,-0.20000000000000004,0
CAV,0,9,84.87660217285156,7.888449668884277,18.912172317504883,-0.6490904092788696,-3.586412191390991,-10.203324317932129,0,-0.10000000000000003,1
CAV,0,10,85.19245147705078,7.878207683563232,18.878686904907227,-0.7601767778396606,-1.9497053623199463,-6.4680609703063965,1,-2.7755575615628914e-17,0
CAV,0,11,85.5162582397461,7.866981506347656,18.8520450592041,-0.7906613945960999,-1.5558825731277466,-1.780300259590149,0,-0.10000000000000003,0
CAV,0,12,85.83877563476562,7.8548431396484375,18.832704544067383,-0.867451012134552,-1.138145923614502,-4.518896579742432,0,-2.7755575615628914e-17,0
CAV,0,13,86.15850067138672,7.840810775756836,18.810348510742188,-0.9926099181175232,-1.2955589294433594,-7.253108501434326,0,-0.10000000000000003,1
CAV,0,14,86.4827880859375,7.824330806732178,18.78567886352539,-1.1232478618621826,-1.481580376625061,-7.845698356628418,1,-2.7755575615628914e-17,0
CAV,0,15,86.7953109741211,7.807278156280518,18.76694107055664,-1.150046706199646,-1.0856322050094604,-1.5526741743087769,0,-0.10000000000000003,1
CAV,0,16,87.11904907226562,7.7884745597839355,18.7476806640625,-1.2439026832580566,-1.1393994092941284,-5.5522942543029785,0,-2.7755575615628914e-17,1
CAV,0,17,87.43572998046875,7.769012451171875,18.723684310913086,-1.2787789106369019,-1.3975255489349365,-2.0311594009399414,1,-0.10000000000000003,0
CAV,0,18,87.75675964355469,7.747814655303955,18.682537078857422,-1.3671869039535522,-2.429486036300659,-5.219937324523926,0,-2.7755575615628914e-17,0
CAV,0,19,88.07292175292969,7.725739479064941,18.658422470092773,-1.412627935409546,-1.456222414970398,-2.7440731525421143,1,-0.10000000000000003,0
CAV,0,20,88.38167572021484,7.702836513519287,18.641647338867188,-1.4639859199523926,-1.0066629648208618,-3.081954002380371,0,-2.7755575615628914e-17,1
CAV,0,21,88.69217681884766,7.678674697875977,18.628707885742188,-1.519806146621704,-0.7707973718643188,-3.325185775756836,0,0.09999999999999998,0
CAV,0,22,89.00470733642578,7.654465675354004,18.608537673950195,-1.493671178817749,-1.1429111957550049,1.4808940887451172,1,0.09999999999999998,0
CAV,0,23,89.3329849243164,7.629613399505615,18.594482421875,-1.438035249710083,-0.8017188310623169,3.173502206802368,0,0.19999999999999998,1
CAV,0,24,89.65884399414062,7.605838298797607,18.578947067260742,-1.3528530597686768,-0.9235360622406006,5.063857555389404,0,0.3,1
CAV,0,25,89.97102355957031,7.584388732910156,18.54836654663086,-1.237884759902954,-1.7827361822128296,6.702245235443115,0,0.19999999999999998,0
CAV,0,26,90.28857421875,7.5642523765563965,18.503643035888672,-1.1048078536987305,-2.6998965740203857,8.033668518066406,0,0.19999999999999998,0
CAV,0,27,90.59444427490234,7.5471367835998535,18.46846580505371,-0.975286066532135,-2.036520481109619,7.498423099517822,1,0.09999999999999998,0
CAV,0,28,90.91320037841797,7.529526233673096,18.456727981567383,-0.9070658087730408,-0.7171289324760437,4.167954921722412,0,0.19999999999999998,0
CAV,0,29,91.21504974365234,7.5146403312683105,18.4449405670166,-0.8023368716239929,-0.6435654163360596,5.717956066131592,1,0.19999999999999998,0
CAV,0,30,91.55253601074219,7.499619007110596,18.42559814453125,-0.6406218409538269,-1.1580625772476196,9.682144165039062,0,0.09999999999999998,0
CAV,0,31,91.860107421875,7.48771333694458,18.416330337524414,-0.5419692397117615,-0.5418597459793091,5.767909526824951,0,0.09999999999999998,0
CAV,0,32,92.17498016357422,7.476771831512451,18.40972137451172,-0.46283844113349915,-0.3874134123325348,4.638599872589111,1,-2.7755575615628914e-17,0
CAV,0,33,92.48896026611328,7.466348171234131,18.404529571533203,-0.45730826258659363,-0.3097513020038605,0.3299393355846405,1,0.09999999999999998,0
CAV,0,34,92.79739379882812,7.4568352699279785,18.39921760559082,-0.40281203389167786,-0.3218436539173126,3.3018407821655273,0,-2.7755575615628914e-17,0
CAV,0,35,93.10099029541016,7.4481120109558105,18.393253326416016,-0.40298816561698914,-0.3444116413593292,-0.01017085462808609,0,-2.7755575615628914e-17,1
