SITE_NAME,CELL_ID,RAT,AREA,BANDWIDTH,USER_COUNT,PRB_UTILIZATION,BEFORE_MML_RATE,AFTER_MML_RATE,gain,has_begbr,has_dacq,has_fwa,has_rrc,begbr_BestEffortGbr,dacq_DlAmbrLimitFirstRank,dacq_DlAmbrLimitSecRank,dacq_DlAmbrLimitThirdRank,fwa_DlExpBasedSchGuarUserRate,fwa_DlSchPriCoefficient,rrc_res0_limit_num,source
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,391,0.97,4.18,6.93,2.75,1,1,0,0,17000,4000000,3999999,3999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,23,LTE,YLYIF,20,208,0.97,5.32,6.76,1.4399999999999995,1,1,0,0,17000,4000000,3999999,3999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,351,0.98,7.83,5.19,-2.64,1,1,0,0,14000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,35,LTE,YLYIF,10,35,0.51,7.18,9.0,1.8200000000000005,1,1,0,0,10000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,207,NR,YLYIF,10,21,0.71,10.8,9.25,-1.5500000000000007,0,0,1,0,0,0,0,0,20000,5000,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,360,0.97,4.57,4.43,-0.1400000000000005,1,1,0,0,17000,4000000,3999999,3999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,207,NR,YLYIF,10,21,0.71,10.8,9.73,-1.0700000000000005,0,0,0,1,0,0,0,0,0,0,10,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,207,NR,YLYIF,10,21,0.78,9.25,9.73,0.4800000000000004,0,0,0,1,0,0,0,0,0,0,10,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,35,LTE,YLYIF,10,32,0.6,7.99,9.28,1.2899999999999991,1,1,0,0,17000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,207,NR,YLYIF,10,21,0.71,10.8,11.79,0.9899999999999984,0,0,1,0,0,0,0,0,40000,5000,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,207,NR,YLYIF,10,21,0.78,9.25,11.79,2.539999999999999,0,0,1,0,0,0,0,0,40000,5000,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,207,NR,YLYIF,10,21,0.72,9.73,11.79,2.0599999999999987,0,0,1,0,0,0,0,0,40000,5000,0,db
MTUTK_001_TaiKooMTR_A_SUB6G,35,LTE,TaiKoo,10,44,0.39,1.41,1.11,-0.2999999999999998,1,1,0,0,2000,800000,799999,799998,0,0,0,db
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,TaiKoo,10,63,0.97,2.45,2.13,-0.3200000000000003,0,0,1,0,0,0,0,0,5000,5000,0,db
MTUTK_001_TaiKooMTR_A_SUB6G,12,LTE,TaiKoo,20,280,0.98,1.34,3.96,2.62,1,1,0,0,6000,700000,699999,699998,0,0,0,db
MTUTK_001_TaiKooMTR_A_SUB6G,35,LTE,TaiKoo,10,46,0.35,1.11,4.68,3.5699999999999994,1,1,0,0,6000,700000,699999,699998,0,0,0,db
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,TaiKoo,10,60,0.95,2.13,6.07,3.94,0,0,1,0,0,0,0,0,7500,5000,0,db
MTUTK_001_TaiKooMTR_A_SUB6G,12,LTE,TaiKoo,20,218,0.93,3.96,9.69,5.73,1,1,0,0,2000,800000,799999,799998,0,0,0,db
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,10,94,0.72,12.06,20.08,8.019999999999998,1,1,0,0,2000,800000,799999,799998,0,0,0,db
MTUTK_001_TaiKooMTR_A_SUB6G,25,LTE,TaiKoo,10,106,0.77,5.76,9.11,3.35,1,1,0,0,2000,800000,799999,799998,0,0,0,db
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,TaiKoo,10,56,0.91,6.07,11.24,5.17,0,0,1,0,0,0,0,0,5000,5000,0,db
MTUTK_001_TaiKooMTR_A_SUB6G,35,LTE,TaiKoo,10,55,0.36,2.46,1.92,-0.54,1,1,0,0,2000,800000,799999,799998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,107,NR,YLYIF,10,3,0.07,9.89,19.49,9.599999999999998,0,0,1,0,0,0,0,0,15000,5000,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,20,LTE,YLYIF,10,84,0.8,3.25,2.12,-1.13,1,1,0,0,2000,800000,799999,799998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,447,0.97,2.34,2.74,0.4000000000000003,1,1,0,0,2000,800000,799999,799998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,326,0.94,2.17,5.12,2.95,1,1,0,0,6000,800000,799999,799998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,20,LTE,YLYIF,10,76,0.75,4.17,4.2,0.0300000000000002,1,1,0,0,5000,800000,799999,799998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,107,NR,YLYIF,10,2,0.04,1.78,16.53,14.750000000000002,0,0,1,0,0,0,0,0,15000,5000,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,418,0.97,2.84,4.27,1.4299999999999995,1,1,0,0,5000,800000,799999,799998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,371,0.94,4.27,3.01,-1.2599999999999998,1,1,0,0,5000,800000,799999,799998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,344,0.92,3.01,3.4,0.3900000000000001,1,1,0,0,5000,800000,799999,799998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,20,LTE,YLYIF,10,85,0.79,3.81,4.47,0.6599999999999997,1,1,0,0,5000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,398,0.97,2.41,2.48,0.0699999999999998,1,1,0,0,5000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,23,LTE,YLYIF,20,188,0.97,3.52,4.7,1.1800000000000002,1,1,0,0,5000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,25,LTE,YLYIF,10,84,0.9,3.35,3.52,0.1699999999999999,1,1,0,0,5000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,107,NR,YLYIF,10,3,0.07,3.95,9.99,6.04,0,0,1,0,0,0,0,0,15000,5000,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,236,0.79,0.35,10.8,10.45,1,1,0,0,10000,5000000,4999999,4999998,0,0,0,db
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,太古城地铁站,10,123,0.9294,3.87,11.215,7.345,0,0,1,0,0,0,0,0,5000,5000,0,excel
MTUTK_001_TaiKooMTR_A_SUB6G,12,LTE,太古城地铁站,20,307,0.9698,1.78,5.133333333333334,3.353333333333333,1,1,0,0,2000,800000,799999,799998,0,0,0,excel
MTUTK_001_TaiKooMTR_A_SUB6G,35,LTE,太古城地铁站,10,80,0.3559,1.16,3.5666666666666664,2.4066666666666663,1,1,0,0,2000,800000,799999,799998,0,0,0,excel
